workerid,proliferate.condition,time_in_minutes,error
427,condition1,25.901616666666666,
630,condition1,54.3092,
492,condition1,30.681333333333335,
409,condition1,23.485433333333333,
567,condition1,26.210116666666668,
635,condition1,42.70013333333333,
457,condition1,27.757733333333334,
511,condition1,19.551666666666662,
581,condition1,37.83058333333334,
433,condition1,52.0184,
472,condition1,21.271883333333335,
499,condition1,53.88656666666667,
587,condition1,36.391333333333336,
318,condition1,3.08945,
512,condition1,53.249066666666664,
423,condition1,24.328116666666663,
572,condition1,31.959266666666668,
334,condition1,34.32723333333333,
434,condition1,49.63355,
575,condition1,86.64313333333334,
545,condition1,37.05311666666667,
393,condition1,20.45075,
487,condition1,50.681916666666666,
440,condition1,23.593366666666668,
517,condition1,19.930583333333335,
425,condition1,22.0058,
491,condition1,22.8659,
421,condition1,29.5214,
469,condition1,36.05733333333333,
448,condition1,43.6133,
605,condition1,40.22695,
628,condition1,63.2114,
346,condition1,29.024716666666663,
610,condition1,33.6965,
418,condition1,19.394283333333338,
320,condition1,1.3953,
507,condition1,27.48275,
607,condition1,33.21615,
467,condition1,41.11026666666667,
535,condition1,40.017716666666665,
624,condition1,41.22111666666667,
541,condition1,34.132466666666666,
603,condition1,23.874666666666663,
474,condition1,34.036766666666665,
576,condition1,25.278933333333335,
343,condition1,29.524533333333338,
326,condition1,9.977283333333334,
453,condition1,69.7416,
401,condition1,37.135333333333335,
501,condition1,35.61108333333333,
486,condition1,34.0019,
495,condition1,42.41088333333333,
471,condition1,26.17725,
449,condition1,36.339416666666665,
426,condition1,30.812583333333333,
548,condition1,50.258966666666666,
407,condition1,17.720466666666667,
584,condition1,34.230016666666664,
321,condition1,1.7827,
475,condition1,49.49243333333333,
593,condition1,27.271,
460,condition1,23.93745,
615,condition1,82.82648333333333,
599,condition1,52.884816666666666,
