FileName,MeanPitch_Hz
201-1,221.98
201-2,224.78
201-3,222.49
203-1_prevoicing,222.18
203-2_prevoicing,221.83
203-3,218.34
208-1,145.98
208-2,144.80
208-3,142.67
211-1,108.93
211-2,107.77
211-3,105.06
215-1,204.96
215-2,226.77
215-3,233.50
216-1,97.12
216-2,89.04
216-3,103.83
305-1,171.72
305-2,168.14
305-3,157.90
307-1,209.58
307-2,207.88
307-3,203.28
309-1,203.26
309-2,190.40
309-3,196.52
310-1,129.85
310-2,128.51
310-3,131.79
311-1,96.80
311-2,93.06
311-3,94.66
312-1,200.15
312-2,201.51
312-3,206.54
313-1,211.57
313-2,209.97
313-3,208.63
314-1,102.85
314-2,97.02
314-3,100.02
401-1,140.57
401-2,141.16
401-3,139.30
403-1,179.79
403-2,181.25
403-3,184.84
404-1,213.67
404-2,216.85
404-3,211.63
405-1,199.41
405-2,205.62
405-3,203.08
406-1,187.27
406-2,183.84
406-3,186.99
407-1,181.36
407-2,178.96
407-3,183.24
408-1,137.36
408-2,140.28
408-3,140.47
409-1,174.44
409-2,171.44
409-3,176.90
501-1,243.47
501-2,286.87
501-3,294.17
502-1,114.71
502-2,113.52
502-3,112.41
503-1,141.26
503-2,136.60
503-3,141.11
504-1,180.68
504-2,192.90
504-3,187.03
505-1,264.88
505-2,261.91
505-3,253.44
506-1,104.21
506-2,105.29
506-3,104.35
507-1,239.50
507-2,241.51
507-3,285.05
508-1,211.76
508-2,227.79
508-3,227.70
509-1,182.39
509-2,181.41
509-3,202.93
510-1,165.15
510-2,167.52
510-3,179.20
511-1,184.86
511-2,195.87
511-3,185.83
512-1,240.27
512-2,226.11
512-3,256.31
601-1,133.61
601-2,139.30
601-3,135.45
602-1,185.01
602-2,177.65
602-3,172.99
603-464-1,132.58
603-464-2,139.79
603-464-3,139.34
604-1,173.85
604-2,178.77
604-3,176.24
605-1,141.59
605-2,145.48
605-3,144.34
606-1,251.65
606-2,253.49
606-3,257.01
607-1,201.09
607-2,200.79
607-3,196.76
608-1,169.43
608-2,163.70
608-3,162.93
609-1,187.21
609-2,190.67
609-3,187.89
610-1,117.56
610-2,117.00
610-3,115.98
614-1,200.95
614-2,196.71
614-3,197.75
615-1,215.26
615-2,236.24
615-3,233.45
618-1,155.97
618-2,148.78
618-3,143.90
619-1,250.89
619-2,235.26
619-3,201.24
620-1,132.70
620-2,140.39
620-3,141.96
621-1,164.44
621-2,180.12
621-3,196.40
623-1,201.86
623-2,201.28
623-3,198.25
625-1,261.08
625-2,251.90
625-3,250.01
701-1,169.02
701-2,170.45
701-3,167.51
703-510-3,150.26
